"source_league_name";"source_country";"source_league_id";"player_id";"player_name";"firstname";"lastname";"age";"birth_date";"birth_place";"birth_country";"nationality";"height";"weight";"injured";"photo";"team_id";"team_name";"team_logo";"league_id";"league_name_api";"league_country";"league_logo";"league_flag";"season";"games_appearences";"games_lineups";"games_minutes";"games_number";"games_position";"games_rating";"games_captain";"substitutes_in";"substitutes_out";"substitutes_bench";"shots_total";"shots_on";"goals_total";"goals_conceded";"goals_assists";"goals_saves";"passes_total";"passes_key";"passes_accuracy";"tackles_total";"tackles_blocks";"tackles_interceptions";"duels_total";"duels_won";"dribbles_attempts";"dribbles_success";"dribbles_past";"fouls_drawn";"fouls_committed";"cards_yellow";"cards_yellowred";"cards_red";"penalty_won";"penalty_commited";"penalty_scored";"penalty_missed";"penalty_saved";"goals_per90";"assists_per90";"shots_per90";"shots_on_per90";"key_passes_per90";"passes_per90";"tackles_per90";"interceptions_per90";"duels_total_per90";"duels_won_per90";"dribbles_attempts_per90";"dribbles_success_per90";"fouls_drawn_per90";"fouls_committed_per90"
"Championship";"England";40;162145;"A. Kamara";"Abdoulaye";"Kamara";21;"2004-11-06";"Conakry";"Guinea";"Guinea";"182";"77";FALSE;"https://media.api-sports.io/football/players/162145.png";1355;"Portsmouth";"https://media.api-sports.io/football/teams/1355.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;303020;"F. Lissah";"Filip";"Lissah";21;"2004-12-08";NA;"England";"England";"182";"70";FALSE;"https://media.api-sports.io/football/players/303020.png";76;"Swansea";"https://media.api-sports.io/football/teams/76.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;309812;"Alfie Marriott";"Alfie";"Marriott";21;"2004-03-26";NA;"England";"England";"187";"74";FALSE;"https://media.api-sports.io/football/players/309812.png";38;"Watford";"https://media.api-sports.io/football/teams/38.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Goalkeeper";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;343132;"J. Golding";"James";"Golding";21;"2004-08-10";"Sutton";"Republic of Ireland";"Republic of Ireland";"188";NA;FALSE;"https://media.api-sports.io/football/players/343132.png";1338;"Oxford United";"https://media.api-sports.io/football/teams/1338.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;355011;"D. Kanu";"Daniel Malanga";"Kanu";21;"2004-11-14";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/355011.png";1335;"Charlton";"https://media.api-sports.io/football/teams/1335.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;366630;"T. Sellars-Fleming";"Tyrell";"Sellars-Fleming";20;"2005-05-31";NA;"England";"England";"183";"70";FALSE;"https://media.api-sports.io/football/players/366630.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;380683;"E. Myles";"Elliot Josh";"Myles";18;"2007-01-20";NA;"England";"Wales";"178";NA;FALSE;"https://media.api-sports.io/football/players/380683.png";71;"Norwich";"https://media.api-sports.io/football/teams/71.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;382340;"G. Forsyth";"Gabriel";"Forsyth";19;"2006-08-04";"Glasgow";"Scotland";"Scotland";"184";"79";FALSE;"https://media.api-sports.io/football/players/382340.png";71;"Norwich";"https://media.api-sports.io/football/teams/71.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;399054;"K. Dixon";"Kaheim";"Dixon";21;"2004-10-04";"Kingston";"Jamaica";"Jamaica";"181";"77";FALSE;"https://media.api-sports.io/football/players/399054.png";1335;"Charlton";"https://media.api-sports.io/football/teams/1335.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;425199;"B. Lawal";"Mohammed Bosun";"Lawal";22;"2003-05-30";NA;"Republic of Ireland";"Republic of Ireland";"180";NA;FALSE;"https://media.api-sports.io/football/players/425199.png";75;"Stoke City";"https://media.api-sports.io/football/teams/75.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
