"source_league_name";"source_country";"source_league_id";"player_id";"player_name";"firstname";"lastname";"age";"birth_date";"birth_place";"birth_country";"nationality";"height";"weight";"injured";"photo";"team_id";"team_name";"team_logo";"league_id";"league_name_api";"league_country";"league_logo";"league_flag";"season";"games_appearences";"games_lineups";"games_minutes";"games_number";"games_position";"games_rating";"games_captain";"substitutes_in";"substitutes_out";"substitutes_bench";"shots_total";"shots_on";"goals_total";"goals_conceded";"goals_assists";"goals_saves";"passes_total";"passes_key";"passes_accuracy";"tackles_total";"tackles_blocks";"tackles_interceptions";"duels_total";"duels_won";"dribbles_attempts";"dribbles_success";"dribbles_past";"fouls_drawn";"fouls_committed";"cards_yellow";"cards_yellowred";"cards_red";"penalty_won";"penalty_commited";"penalty_scored";"penalty_missed";"penalty_saved"
"Championship";"England";40;15301;"André Vidigal";"André Filipe";"Cunha Vidigal";27;"1998-08-17";"Elvas";"Portugal";"Portugal";"176";"67";FALSE;"https://media.api-sports.io/football/players/15301.png";75;"Stoke City";"https://media.api-sports.io/football/teams/75.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;17699;"O. Dale";"Owen";"Dale";27;"1998-11-01";"Warrington";"England";"England";"175";"65";FALSE;"https://media.api-sports.io/football/players/17699.png";1338;"Oxford United";"https://media.api-sports.io/football/teams/1338.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;17904;"O. Palmer";"Oliver James";"Palmer";33;"1992-01-21";"London";"England";"England";"196";"92";FALSE;"https://media.api-sports.io/football/players/17904.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;19225;"J. Marriott";"Jack";"Marriott";31;"1994-09-09";"Beverley";"England";"England";"173";"71";FALSE;"https://media.api-sports.io/football/players/19225.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;19406;"G. Long";"George Martin";"Long";32;"1993-11-05";"Sheffield";"England";"England";"193";"91";FALSE;"https://media.api-sports.io/football/players/19406.png";71;"Norwich";"https://media.api-sports.io/football/teams/71.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;1;1;NA;NA;"Goalkeeper";NA;FALSE;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0;0;0
"Championship";"England";40;19406;"G. Long";"George Martin";"Long";32;"1993-11-05";"Sheffield";"England";"England";"193";"91";FALSE;"https://media.api-sports.io/football/players/19406.png";41;"Southampton";"https://media.api-sports.io/football/teams/41.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;0;0;NA;25;"Goalkeeper";NA;FALSE;0;0;5;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA
"Championship";"England";40;19449;"J. Ginnelly";"Joshua";"Lloyd Ginnelly";28;"1997-03-24";"Coventry";"England";"England";"175";"65";FALSE;"https://media.api-sports.io/football/players/19449.png";76;"Swansea";"https://media.api-sports.io/football/teams/76.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;19605;"T. Mcintyre";"Thomas Peter";"Mcintyre";27;"1998-11-06";"Reading";"Scotland";"Scotland";"185";NA;FALSE;"https://media.api-sports.io/football/players/19605.png";1355;"Portsmouth";"https://media.api-sports.io/football/teams/1355.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;19859;"A. Cannon";"Andy";"Cannon";29;"1996-03-14";"Ashton-under-Lyne";"England";"England";"176";"74";FALSE;"https://media.api-sports.io/football/players/19859.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;162145;"A. Kamara";"Abdoulaye";"Kamara";21;"2004-11-06";"Conakry";"Guinea";"Guinea";"182";"77";FALSE;"https://media.api-sports.io/football/players/162145.png";1355;"Portsmouth";"https://media.api-sports.io/football/teams/1355.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;303020;"F. Lissah";"Filip";"Lissah";21;"2004-12-08";NA;"England";"England";"182";"70";FALSE;"https://media.api-sports.io/football/players/303020.png";76;"Swansea";"https://media.api-sports.io/football/teams/76.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;309812;"Alfie Marriott";"Alfie";"Marriott";21;"2004-03-26";NA;"England";"England";"187";"74";FALSE;"https://media.api-sports.io/football/players/309812.png";38;"Watford";"https://media.api-sports.io/football/teams/38.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Goalkeeper";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;343132;"J. Golding";"James";"Golding";21;"2004-08-10";"Sutton";"Republic of Ireland";"Republic of Ireland";"188";NA;FALSE;"https://media.api-sports.io/football/players/343132.png";1338;"Oxford United";"https://media.api-sports.io/football/teams/1338.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;355011;"D. Kanu";"Daniel Malanga";"Kanu";21;"2004-11-14";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/355011.png";1335;"Charlton";"https://media.api-sports.io/football/teams/1335.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;366630;"T. Sellars-Fleming";"Tyrell";"Sellars-Fleming";20;"2005-05-31";NA;"England";"England";"183";"70";FALSE;"https://media.api-sports.io/football/players/366630.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
